category,headline,authors,link,short_description,date,Indexes
SCIENCE,SpaceX Rocket Blasts Off Carrying NASA's New Planet-Hunting Telescope,"Joey Roullette, Reuters",https://www.huffingtonpost.com/entry/spacex-launch-tess-satellite_us_5ad83219e4b03c426dab4e24,The telescope is designed to detect worlds beyond our solar system that might be capable of harboring life.,2018-04-19,0
TECH,"Elon Musk Pulls Tesla, SpaceX Facebook Pages In Nod To #DeleteFacebook",Ryan Grenoble,https://www.huffingtonpost.com/entry/elon-musk-deletes-facebook-accounts-spacex-tesla-pages_us_5ab52c26e4b0decad0499f06,He also deleted his personal profile.,2018-03-23,23
SCIENCE,SpaceX Launches Its First Recycled Cargo Ship Into Orbit,Carla Herreria,https://www.huffingtonpost.com/entry/spacex-launches-first-recycled-cargo_us_59332c19e4b0c242ca24a351,The refurbished capsule brings us one step closer to cheaper space travel.,2017-06-04,0
TECH,SpaceX Launches And Lands The First Recycled Orbital Rocket Ever,Michael McLaughlin,https://www.huffingtonpost.com/entry/spacex-recycled-rocket-launch_us_58dd86c1e4b05eae031e881c,"It's cool because with reusable rockets, space flight could get cheaper.",2017-03-30,0
SCIENCE,SpaceX To Send Two Private Citizens Around The Moon In 2018,Chris D'Angelo,https://www.huffingtonpost.com/entry/spacex-moon-mission-2018_us_58b0c503e4b0a8a9b7827676,Elon Musk just doesn't quit.,2017-02-27,0
SCIENCE,"SpaceX Launches Rocket From NASA Pad In Florida, Completes Re-landing","Irene Klotz, Reuters",https://www.huffingtonpost.com/entry/spacex-launches-rocket-from-nasa-pad-in-florida-completes-re-landing_us_58a9bf37e4b037d17d28da8e,"The rocket, which launched at 9:39 a.m. EST, carried a cargo ship with about 5,500 pounds (2,500 kg) of supplies and experiments for the International Space Station.",2017-02-19,0
BUSINESS,"Elon Musk's Tesla, SpaceX Join Companies Opposing Donald Trump's Immigration Order",Chris D'Angelo,https://www.huffingtonpost.com/entry/elon-musk-tesla-spacex-join-challenge-trump-immigration-ban_us_5898ffb4e4b09bd304bd2a79,"So far, there are 127.",2017-02-07,19
SCIENCE,"SpaceX Launches First Rocket Since Explosion, Returns Stage To Earth",,https://www.huffingtonpost.com/entry/spacex-launches-first-rocket-since-explosion_us_587a7bebe4b0b3c7a7b1b22c,Saturdayâ€™s flight begins to clear a logjam of more than 70 planned missions.,2017-01-14,0
BUSINESS,SpaceX Executive Quits To Fight Trump As A Grassroots Activist,Ryan Grenoble,https://www.huffingtonpost.com/entry/spacex-exec-quits-fight-trump-dex-torricke-barton_us_582c84bce4b099512f801611,"""The only reason to leave my dream job was to go and fight a nightmare.""",2016-11-16,0
SCIENCE,Elon Musk's SpaceX Has Company In The Race To Mars,Chris D'Angelo,https://www.huffingtonpost.com/entry/boeing-race-to-mars_us_57f539d1e4b002a73120202e,"Gentlemen, start your engines.",2016-10-05,12
SCIENCE,Elon Musk: SpaceX Launch Explosion Is 'Most Difficult' Failure In 14 Years,"Irene Klotz, Reuters",https://www.huffingtonpost.com/entry/elon-musk-spacex-explosion_us_57d36dbde4b00642712dc26c,A fireball consumed the rocket as it was being fueled for a launch.,2016-09-10,11
TECH,Explosion At SpaceX Launch Site At Cape Canaveral: Media Reports,,https://www.huffingtonpost.com/entry/explosion-at-spacex-launch-site_us_57c8360de4b078581f114eef,The explosion took place during a test firing of the Falcon 9 rocket.,2016-09-01,13
SCIENCE,Watch A Video Of Today's SpaceX Falcon 9 Rocket Explosion,Ryan Grenoble,https://www.huffingtonpost.com/entry/spacex-rocket-explosion-video-watch_us_57c8680ae4b0e60d31ddcc8b,No one was injured in the blast.,2016-09-01,25
SCIENCE,"SpaceX Rocket Lifts Off On Cargo Run, Then Successfully Lands At Launch Site",,https://www.huffingtonpost.com/entry/spacex-rocket-cargo-run_us_578c6a24e4b03fc3ee514950,"Perched on top of the rocket was a Dragon capsule filled with nearly 5,000 pounds of food, supplies and equipment, including a miniature DNA sequencer.",2016-07-18,0
SCIENCE,SpaceX Lands Reusable Falcon 9 Rocket (UPDATE),Nick Visser,https://www.huffingtonpost.com/entry/spacex-falcon-9-rocket-launch_us_572c17efe4b016f37895504a,"Despite initial worries, the company has done it again.",2016-05-06,0
SCIENCE,SpaceX Nails Historic At-Sea Rocket Landing,Chris D'Angelo,https://www.huffingtonpost.com/entry/spacex-cargo-resupply_us_570497ece4b0537661881c8b,"""Fifth time's a charm!""",2016-04-08,0
SCIENCE,SpaceX Rocket Crashes During Drone Ship Landing -- Again,Chris D'Angelo,https://www.huffingtonpost.com/entry/spacex-rocket-crash_us_56da1b14e4b0000de404c7f5,On land: 1 for 1. At sea: 0 for 4.,2016-03-05,0
SCIENCE,3rd SpaceX Rocket Launch Aborted,Chris D'Angelo,https://www.huffingtonpost.com/entry/spacex-falcon9-rocket-launch_us_56ce1e3ee4b0871f60e9ef32,"UPDATE, Feb. 28: SpaceX aborted the launch of the Falcon 9 rocket for a third time on Sunday night. The space technologies",2016-02-25,4
SCIENCE,SpaceX Rocket Botches Landing At Sea After Successful Launch,Chris D'Angelo,https://www.huffingtonpost.com/entry/spacex-rocket-crash-lands-at-sea_us_56991158e4b0b4eb759e174e,One out of four isn't bad when you're trying to land a rocket vertically.,2016-01-17,0
SCIENCE,SpaceX Rocket Explodes After Liftoff,Jacqueline Howard,https://www.huffingtonpost.com/entry/spacex-capsule-watch-live_n_7681504.html,,2015-06-28,0
BUSINESS,"SpaceX Rocket Launches Space Cargo, But Crash Lands",,https://www.huffingtonpost.com/entry/spacex-rocket_n_6447710.html,,2015-01-10,0
SCIENCE,SpaceX Rocket Launch Halted By Last-Second Glitch,"Reuters, Reuters",https://www.huffingtonpost.com/entry/last-second-glitch-halts-spacex-rocket_us_5baebc8fe4b014374e2eb1c4,"SpaceX aims to put SES-8 into an elliptical orbit that reaches more than 50,000 miles from Earth, about a quarter of the",2013-11-29,0
SCIENCE,SpaceX Dragon Capsule Cleared To Dock With ISS On Sunday & Visible In Southern Night Sky,,https://www.huffingtonpost.com/entry/spacex-dragon-capsule-dock-iss_us_5baeb4f3e4b014374e2e288e,"Now, with all 18 Draco thrusters on the Dragon's four thruster pods working, SpaceX is ready to attempt the rendezvous. A",2013-03-03,0
SCIENCE,SpaceX Launch Abort Traced To Faulty Rocket Engine Valve,,https://www.huffingtonpost.com/entry/spacex-launch-abort-faulty-rocket-valve_us_5baeadffe4b014374e2d8fc7,"By: Clara Moskowitz Published: 05/19/2012 08:01 AM EDT on SPACE.com ""Those repairs should be complete tonight,"" officials",2012-05-20,0
